Time stamp: 09/13/2011 19:12:07
Program name: C:\CCStudio_v3.3\MyProjects\rnlms\Release\rnlms.out


Tab name: Profiler
Address Range, Symbol Name, SLR, Symbol Type, Access Count, Cycles: Incl. Total, Cycles: Excl. Total, Branches: Incl. Total, Branches: Excl. Total, 
0:0xab00-0xab7c, c_int00 <TI Library>, 26-62:boot.c, function, 1, 18445, 29, 42, 0, 
0:0xace0-0xad18, _args_main <TI Library>, 25-35:args_main.c, function, 1, 16091, 12, 6, 0, 
0:0xdf8-0xf10, main, 140-159:tester.c, function, 1, 16078, 42, 6, 1, 
0:0x40-0x1e4, rlms_init, 29-51:rnlms.c, function, 1, 15555, 83, 0, 0, 
0:0x8d00-0x8e24, memset <TI Library>, 64-114:memset.c, function, 1, 15459, 15459, 0, 0, 
0:0x8dcc-0x8de0, memset <TI Library>, 96-101:memset.c, loop, 2572, 15426, 15426, 0, 0, 
0:0x8940-0x8a70, _auto_init <TI Library>, 14-43:autoinit.c, function, 1, 2274, 1377, 36, 36, 
0:0x89b4-0x89f8, _auto_init <TI Library>, 20-29:autoinit.c, loop, 14, 2220, 2220, 35, 35, 
0:0x6280-0x64a4, memcpy <TI Library>, 10-62:memcpy62.c, function, 14, 866, 866, 0, 0, 
0:0x6360-0x6380, memcpy <TI Library>, 52-53:memcpy62.c, loop, 140, 840, 840, 0, 0, 
0:0x6940-0x6b4c, malloc <TI Library>, 200-242:memory.c, function, 1, 343, 291, 5, 5, 
0:0x6480-0x6498, memcpy <TI Library>, 34-34:memcpy62.c, loop, 32, 192, 192, 0, 0, 
0:0xa100-0xa1d0, minsert <TI Library>, 100-144:memory.c, function, 1, 105, 105, 1, 1, 
0:0x0-0x40, rlms_sizeOfRequiredMemory, 21-26:rnlms.c, function, 1, 73, 32, 0, 0, 
0:0xa15c-0xa184, minsert <TI Library>, 118-122:memory.c, loop, 2, 59, 59, 1, 1, 
0:0xa020-0xa0f0, mremove <TI Library>, 151-172:memory.c, function, 1, 35, 35, 1, 1, 
0:0x1dc4-0x1de8, CB_size, 77-82:CircularBuffer.c, function, 1, 15, 15, 0, 0, 
0:0x1ac0-0x1b2c, CB_calc_pos, 12-34:CircularBuffer.c, function, 0, 0, 0, 0, 0, 
0:0x1f7c-0x1fcc, CB_get_elem, 111-114:CircularBuffer.c, function, 0, 0, 0, 0, 0, 
0:0x1fcc-0x2004, CB_get_first_elem, 117-120:CircularBuffer.c, function, 0, 0, 0, 0, 0, 
0:0x1de8-0x1f14, CB_init, 86-101:CircularBuffer.c, function, 0, 0, 0, 0, 0, 
0:0x1f14-0x1f7c, CB_push_elem, 104-108:CircularBuffer.c, function, 0, 0, 0, 0, 0, 
0:0x9980-0x9a6c, HOSTclose <TI Library>, 72-85:trgdrv.c, function, 0, 0, 0, 0, 0, 
0:0x7620-0x7788, HOSTlseek <TI Library>, 131-146:trgdrv.c, function, 0, 0, 0, 0, 0, 
0:0x8020-0x8178, HOSTopen <TI Library>, 53-67:trgdrv.c, function, 0, 0, 0, 0, 0, 
0:0x92e0-0x93f8, HOSTread <TI Library>, 90-106:trgdrv.c, function, 0, 0, 0, 0, 0, 
0:0x6700-0x693c, HOSTrename <TI Library>, 161-180:trgdrv.c, function, 0, 0, 0, 0, 0, 
0:0x90a0-0x91ac, HOSTunlink <TI Library>, , function, 0, 0, 0, 0, 0, 
0:0x91c0-0x92d8, HOSTwrite <TI Library>, 111-126:trgdrv.c, function, 0, 0, 0, 0, 0, 
